,index,Method,Test Case,ID,Crashes,Non Crashes,Predicates,SLOC,Trace Analysis Time,Monitoring Time,Ranking Time,Tracing Time,Instructions Traced,Total Instructions,Time to Prepare For Tracing
0,0,aurora,cjpeg_divide_by_zero_trace,2.0,10.0,250.6,2.0,2.0,0.33199999999999996,0.01,0.0,14.790000000000001,769.0,769.0,0.0
1,45,loc with source,cjpeg_divide_by_zero_trace,2.0,10.0,250.6,1.6,1.6,0.158,0.01,0.0,11.425999999999998,360.6,779.6,0.03
2,15,basic block,cjpeg_divide_by_zero_trace,2.0,10.0,250.6,1.0,2.0,0.1,0.01,0.0,10.178,104.2,796.0,0.0
3,30,loc,cjpeg_divide_by_zero_trace,2.0,10.0,250.6,1.6,1.8,0.188,0.01,0.0,11.966,360.6,779.6,14.7102
4,31,loc,cjpeg_heap_buffer_overflow_trace,2.0,11.6,106.0,1.0,1.0,0.128,0.772,0.01,4.3759999999999994,396.4,948.8,13.2078
5,1,aurora,cjpeg_heap_buffer_overflow_trace,2.0,11.6,106.0,1.0,1.0,0.266,1.27,0.018,5.029999999999999,943.2,943.2,0.0
6,46,loc with source,cjpeg_heap_buffer_overflow_trace,2.0,11.6,106.0,1.0,1.0,0.128,0.758,0.01,4.426,388.6,948.8,0.024
7,16,basic block,cjpeg_heap_buffer_overflow_trace,2.0,11.6,106.0,16.8,12.2,0.076,0.71,0.0,4.05,127.4,957.4,0.0
8,32,loc,ezxml_trace,2.0,25.2,743.6,3.6,1.4,1.48,1.252,0.0,29.588,519.6,1972.0,11.531600000000001
9,2,aurora,ezxml_trace,2.0,25.2,743.6,3.0,1.0,4.048,1.218,0.0,49.344,1966.2,1966.2,0.0
10,47,loc with source,ezxml_trace,2.0,25.2,743.6,3.6,1.4,1.49,1.24,0.0,29.886000000000003,519.8,1972.0,0.02
11,17,basic block,ezxml_trace,2.0,25.2,743.6,4.4,1.4,0.8019999999999999,1.278,0.0,25.536,232.8,1989.2,0.0
12,33,loc,fls_trace,2.0,93.0,332.8,6.6,5.0,2.6759999999999997,0.708,0.012,40.748000000000005,3092.4,10709.4,64.1148
13,48,loc with source,fls_trace,2.0,93.0,332.8,6.6,5.0,2.702,0.71,0.014000000000000002,42.510000000000005,3106.2,10709.4,0.23000000000000004
14,18,basic block,fls_trace,2.0,93.0,332.8,22.2,17.2,1.082,0.708,0.01,29.804000000000002,1075.8,10729.4,0.0
15,3,aurora,fls_trace,2.0,93.0,332.8,10.6,4.8,8.542,0.8240000000000001,0.036,82.478,10709.4,10709.4,0.0
16,34,loc,img2sixel_trace,2.0,12.8,96.2,13.0,11.4,0.198,2.2560000000000002,0.048,124.756,851.2,2755.8,30.199400000000004
