,Test Case,Predicates_aurora,SLOC_aurora,Predicates_loc,SLOC_loc,Predicates_loc with source,SLOC_loc with source,Predicates_basic block,SLOC_basic block
0,cjpeg_divide_by_zero_trace,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0
1,cjpeg_heap_buffer_overflow_trace,1.0,1.0,1.0,1.0,1.0,1.0,14.0,11.0
2,ezxml_trace,3.0,1.0,3.0,1.0,3.0,1.0,4.0,1.0
3,fls_trace,4.0,3.0,3.0,2.0,3.0,2.0,18.0,15.0
4,img2sixel_trace,27.0,12.0,12.0,12.0,12.0,12.0,16.0,14.0
5,lua_trace,119.0,53.0,44.0,42.0,44.0,42.0,28.0,26.0
6,matdump_trace,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0
7,mruby_heap_buffer_overflow_trace,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,mruby_integer_overflow_trace,4.0,3.0,2.0,2.0,2.0,2.0,168.0,140.0
9,mruby_trace,75.0,35.0,24.0,21.0,24.0,21.0,16.0,15.0
10,mruby_uninitialized_variable_trace,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
11,nm_trace,3.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0
12,patch_trace,2.0,2.0,7.0,5.0,7.0,5.0,6.0,6.0
13,perl_trace,112.0,33.0,43.0,28.0,43.0,28.0,17.0,14.0
14,pngimage_trace,10.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0
15,python_trace,309.0,198.0,241.0,177.0,276.0,188.0,256.0,178.0
16,readelf_trace,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
17,tcpdump_trace,3.0,2.0,2.0,1.0,2.0,1.0,23.0,17.0
18,xmllint_trace,87.0,55.0,31.0,29.0,31.0,29.0,25.0,23.0
19,ziptool_trace,9.0,7.0,5.0,5.0,5.0,5.0,7.0,6.0
