Test Case,Method,ID,Crashes,Non Crashes,Predicates,SLOC,Trace Analysis Time,Monitoring Time,Ranking Time,Tracing Time,Instructions Traced,Total Instructions,Time to Prepare For Tracing
tcpdump_trace,aurora,1,86,684,1,1,15.87,1.97,0.06,112.54,8581,8581,0
tcpdump_trace,aurora,2,9,340,1,1,5.03,5.79,0.05,50.29,8024,8024,0
tcpdump_trace,aurora,3,55,603,6,3,11.85,5.88,0.07,95.57,8292,8292,0
tcpdump_trace,aurora,0,82,678,1,1,15.15,1.82,0.06,108.65,8362,8362,0
tcpdump_trace,aurora,4,82,619,1,1,13.54,2.33,0.07,102.06,8390,8390,0
tcpdump_trace,loc,0,82,678,1,1,4.42,1.44,0.01,67.47,2314,8362,117.699
tcpdump_trace,loc,3,55,603,4,3,3.56,1.71,0.02,52.76,2322,8292,117.80799999999999
tcpdump_trace,loc,1,86,684,1,1,4.6,1.58,0.01,62.0,2393,8581,117.81700000000001
tcpdump_trace,loc,2,9,340,1,1,1.59,1.56,0.01,27.64,2193,8024,120.128
tcpdump_trace,loc,4,82,619,1,1,3.99,5.52,0.01,56.19,2312,8390,124.266
tcpdump_trace,basic block,4,82,619,27,19,1.47,1.71,0.01,42.52,829,8508,0
tcpdump_trace,basic block,2,9,340,23,17,0.58,5.84,0.0,21.13,768,8117,0
tcpdump_trace,basic block,3,55,603,28,21,1.35,1.57,0.01,39.71,810,8399,0
tcpdump_trace,basic block,0,82,678,26,19,1.7,1.45,0.01,46.47,808,8473,0
tcpdump_trace,basic block,1,86,684,25,18,1.74,5.5,0.0,46.88,831,8710,0
tcpdump_trace,loc with source,1,86,684,1,1,4.6,1.63,0.02,63.31,2370,8581,0.37
tcpdump_trace,loc with source,3,55,603,4,3,3.63,1.72,0.02,53.96,2294,8292,0.38
tcpdump_trace,loc with source,4,82,619,1,1,3.98,1.74,0.02,57.44,2312,8390,0.36
tcpdump_trace,loc with source,2,9,340,1,1,1.57,6.04,0.01,28.34,2245,8024,0.37
tcpdump_trace,loc with source,0,82,678,1,1,4.63,1.51,0.01,62.45,2338,8362,0.36
img2sixel_trace,aurora,1,9,81,32,15,0.51,2.63,0.22,6.92,2655,2655,0
img2sixel_trace,aurora,2,8,104,12,6,0.56,2.24,0.22,113.81,2689,2689,0
img2sixel_trace,aurora,3,12,90,14,9,0.55,3.36,0.22,302.72,2641,2641,0
img2sixel_trace,aurora,0,10,82,32,15,0.5,2.17,0.24,6.95,2673,2673,0
img2sixel_trace,aurora,4,25,115,9,6,0.82,10.86,0.27,310.02,2776,2776,0
img2sixel_trace,loc,0,10,82,13,12,0.17,1.53,0.05,5.57,824,2673,30.14
img2sixel_trace,loc,3,12,91,11,10,0.19,2.88,0.05,60.12,837,2691,29.838
img2sixel_trace,loc,1,9,81,15,14,0.18,2.07,0.05,5.02,825,2655,30.237
img2sixel_trace,loc,2,8,104,15,12,0.2,1.83,0.05,38.26,839,2689,29.964
img2sixel_trace,loc,4,25,123,11,9,0.25,2.97,0.04,514.81,931,3071,30.818
img2sixel_trace,basic block,4,25,124,8,8,0.13,2.99,0.01,116.59,260,3105,0
img2sixel_trace,basic block,2,8,104,16,13,0.07,1.79,0.01,7.45,227,2722,0
img2sixel_trace,basic block,3,12,91,20,16,0.08,2.6,0.01,20.08,240,2725,0
img2sixel_trace,basic block,0,10,82,21,18,0.08,1.33,0.01,4.58,220,2707,0
img2sixel_trace,basic block,1,9,81,21,18,0.07,2.05,0.01,4.1,219,2689,0
img2sixel_trace,loc with source,1,9,81,15,14,0.17,2.13,0.05,5.06,825,2655,0.07
img2sixel_trace,loc with source,3,12,91,11,10,0.18,2.9,0.05,57.81,837,2691,0.08
img2sixel_trace,loc with source,4,25,123,11,9,0.29,2.98,0.04,303.62,972,3040,0.07
img2sixel_trace,loc with source,2,8,104,15,12,0.2,1.89,0.05,38.33,839,2689,0.08
img2sixel_trace,loc with source,0,10,82,13,12,0.19,1.56,0.05,5.16,902,2673,0.07
mruby_integer_overflow_trace,aurora,1,10,725,46,23,67.53,33.92,0.13,1142.55,,,0
mruby_integer_overflow_trace,aurora,2,14,776,48,23,76.44,45.16,0.36,1216.98,,,0
mruby_integer_overflow_trace,aurora,3,16,678,55,25,63.97,221.67,0.98,1054.67,,,0
mruby_integer_overflow_trace,aurora,0,8,712,108,30,65.36,16.3,0.12,1107.44,,,0
mruby_integer_overflow_trace,aurora,4,15,736,36,19,71.64,117.98,0.35,1172.32,,,0
mruby_integer_overflow_trace,loc,0,8,712,44,26,17.9,10.88,0.04,396.24,,,79.261
mruby_integer_overflow_trace,loc,3,16,678,29,19,16.9,105.12,0.27,382.52,,,80.089
mruby_integer_overflow_trace,loc,1,10,725,21,15,18.13,22.61,0.04,409.04,,,81.098
mruby_integer_overflow_trace,loc,2,14,776,26,16,20.67,31.58,0.12,433.6,,,81.75
mruby_integer_overflow_trace,loc,4,15,736,18,12,19.3,32.18,0.13,424.84,,,82.429
mruby_integer_overflow_trace,basic block,4,15,736,68,56,5.25,18.63,0.02,164.41,,,0
mruby_integer_overflow_trace,basic block,2,14,776,73,58,5.56,18.49,0.02,171.17,,,0
mruby_integer_overflow_trace,basic block,3,16,678,192,157,4.54,78.6,0.08,149.59,,,0
mruby_integer_overflow_trace,basic block,0,8,712,34,29,4.76,13.98,0.01,157.2,,,0
mruby_integer_overflow_trace,basic block,1,10,725,33,30,4.89,14.65,0.01,160.79,,,0
mruby_integer_overflow_trace,loc with source,1,10,725,1,1,13.96,13.49,0.03,357.69,,,0.18
mruby_integer_overflow_trace,loc with source,3,16,678,11,11,13.16,74.44,0.19,335.5,,,0.18
mruby_integer_overflow_trace,loc with source,4,15,736,8,8,14.71,88.15,0.07,369.76,,,0.19
mruby_integer_overflow_trace,loc with source,2,14,776,10,9,15.72,18.2,0.08,387.06,,,0.18
mruby_integer_overflow_trace,loc with source,0,8,712,21,20,13.83,4.44,0.02,347.4,,,0.18
fls_trace,aurora,1,74,316,14,7,7.87,0.64,0.03,68.35,10641,10641,0
fls_trace,aurora,2,95,327,9,4,8.29,0.89,0.04,88.47,10584,10584,0
fls_trace,aurora,3,103,371,9,4,9.43,1.1,0.05,87.52,10827,10827,0
fls_trace,aurora,0,98,326,9,4,8.65,0.6,0.03,91.88,10729,10729,0
fls_trace,aurora,4,95,324,12,5,8.47,0.89,0.03,76.17,10766,10766,0
fls_trace,loc,0,98,326,6,5,2.61,0.54,0.01,47.01,3095,10729,63.356
fls_trace,loc,3,103,371,6,5,3.04,0.87,0.01,44.07,3138,10827,65.253
fls_trace,loc,1,74,316,8,6,2.44,0.6,0.01,35.03,3073,10641,63.332
fls_trace,loc,2,95,327,4,3,2.59,0.76,0.02,39.09,3065,10584,64.79
fls_trace,loc,4,95,324,9,6,2.7,0.77,0.01,38.54,3091,10766,63.843
fls_trace,basic block,4,95,324,21,16,1.08,0.79,0.01,29.2,1093,10786,0
fls_trace,basic block,2,95,327,26,22,1.02,0.67,0.01,29.92,1062,10604,0
fls_trace,basic block,3,103,371,23,16,1.26,0.87,0.01,34.22,1077,10847,0
fls_trace,basic block,0,98,326,22,17,1.08,0.58,0.01,29.55,1064,10749,0
fls_trace,basic block,1,74,316,19,15,0.97,0.63,0.01,26.13,1083,10661,0
fls_trace,loc with source,1,74,316,8,6,2.39,0.57,0.01,35.57,3142,10641,0.23
fls_trace,loc with source,3,103,371,6,5,3.0,0.88,0.02,48.38,3138,10827,0.23
fls_trace,loc with source,4,95,324,9,6,2.77,0.77,0.01,38.96,3091,10766,0.23
fls_trace,loc with source,2,95,327,4,3,2.65,0.8,0.02,43.25,3065,10584,0.23
fls_trace,loc with source,0,98,326,6,5,2.7,0.53,0.01,46.39,3095,10729,0.23
lua_trace,aurora,1,112,1459,165,73,73.69,72.15,0.89,476.77,11992,11992,0
lua_trace,aurora,2,140,1320,119,61,65.7,81.55,1.04,428.08,12114,12114,0
lua_trace,aurora,3,80,948,213,91,34.3,77.73,1.64,248.06,11367,11367,0
lua_trace,aurora,0,87,1022,149,70,38.9,16.95,1.05,274.77,11246,11246,0
lua_trace,aurora,4,144,1215,88,32,56.83,75.17,0.85,367.32,11976,11976,0
lua_trace,loc,0,87,1022,68,54,10.44,7.23,0.27,105.44,2736,11247,26.113
lua_trace,loc,3,80,948,88,70,9.35,34.19,0.36,95.94,2766,11368,26.16
lua_trace,loc,1,112,1459,65,52,20.15,11.18,0.2,168.46,2949,11993,25.837
lua_trace,loc,2,140,1320,53,46,17.85,16.43,0.21,157.17,2970,12115,25.77
lua_trace,loc,4,145,1215,34,27,14.61,12.94,0.18,215.65,2915,11978,25.786
lua_trace,basic block,4,145,1215,16,14,4.7,14.07,0.06,106.7,877,12041,0
lua_trace,basic block,2,140,1320,34,31,5.54,23.11,0.06,89.53,891,12179,0
lua_trace,basic block,3,80,948,54,45,3.04,32.64,0.09,57.4,831,11431,0
lua_trace,basic block,0,87,1022,37,33,3.37,9.13,0.06,61.94,820,11310,0
lua_trace,basic block,1,112,1459,35,30,6.36,10.9,0.06,95.56,879,12056,0
lua_trace,loc with source,1,112,1459,65,52,20.15,11.07,0.2,171.8,2955,11993,0.06
lua_trace,loc with source,3,80,948,88,70,9.32,35.35,0.32,96.36,2766,11368,0.06
lua_trace,loc with source,4,145,1215,34,27,14.67,12.57,0.18,202.56,2935,11978,0.06
lua_trace,loc with source,2,140,1320,53,46,17.49,17.63,0.21,163.57,2958,12115,0.06
lua_trace,loc with source,0,87,1022,68,54,10.58,7.34,0.26,106.25,2736,11247,0.06
xmllint_trace,aurora,1,360,1150,69,46,99.07,14.49,0.66,414.45,19528,19528,0
xmllint_trace,aurora,2,342,1158,36,17,95.46,28.28,0.95,456.3,19107,19107,0
xmllint_trace,aurora,3,344,1121,63,40,93.98,29.26,0.9,418.09,19377,19377,0
xmllint_trace,aurora,0,351,1123,40,20,94.18,11.23,0.75,448.15,19419,19419,0
xmllint_trace,aurora,4,341,1057,47,27,83.94,51.94,0.92,426.37,19191,19191,0
xmllint_trace,loc,0,351,1123,149,118,32.19,5.86,0.22,203.57,6090,19420,141.416
xmllint_trace,loc,3,344,1121,258,201,32.16,13.29,0.24,192.96,6098,19374,137.706
xmllint_trace,loc,1,360,1150,203,158,33.38,7.06,0.21,196.85,6135,19527,140.603
xmllint_trace,loc,2,342,1158,168,135,32.94,11.94,0.28,205.95,6015,19109,138.812
xmllint_trace,loc,4,341,1057,173,141,28.63,16.17,0.24,183.98,6003,19190,140.519
xmllint_trace,basic block,4,341,1057,103,94,13.29,10.45,0.13,122.76,2627,19236,0
xmllint_trace,basic block,2,342,1158,102,89,14.94,7.61,0.15,134.95,2615,19154,0
xmllint_trace,basic block,3,344,1121,160,141,14.91,8.48,0.13,129.05,2656,19417,0
