Test Case,Predicates,SLOC
cjpeg_divide_by_zero_trace,2.0,2.0
cjpeg_heap_buffer_overflow_trace,1.0,1.0
ezxml_trace,3.0,1.0
fls_trace,4.0,3.0
img2sixel_trace,27.0,12.0
lua_trace,119.0,53.0
matdump_trace,3.0,3.0
mruby_heap_buffer_overflow_trace,1.0,1.0
mruby_integer_overflow_trace,4.0,3.0
mruby_trace,75.0,35.0
mruby_uninitialized_variable_trace,2.0,2.0
nm_trace,3.0,2.0
patch_trace,2.0,2.0
perl_trace,112.0,33.0
pngimage_trace,10.0,5.0
python_trace,309.0,198.0
readelf_trace,4.0,2.0
tcpdump_trace,3.0,2.0
xmllint_trace,87.0,55.0
ziptool_trace,9.0,7.0
