Test Case,Predicates,SLOC
cjpeg_divide_by_zero_trace,1.0,2.0
cjpeg_heap_buffer_overflow_trace,14.0,11.0
ezxml_trace,4.0,1.0
fls_trace,18.0,15.0
img2sixel_trace,16.0,14.0
lua_trace,28.0,26.0
matdump_trace,3.0,3.0
mruby_heap_buffer_overflow_trace,1.0,1.0
mruby_integer_overflow_trace,168.0,140.0
mruby_trace,16.0,15.0
mruby_uninitialized_variable_trace,2.0,2.0
nm_trace,3.0,3.0
patch_trace,6.0,6.0
perl_trace,17.0,14.0
pngimage_trace,4.0,4.0
python_trace,256.0,178.0
readelf_trace,1.0,1.0
tcpdump_trace,23.0,17.0
xmllint_trace,25.0,23.0
ziptool_trace,7.0,6.0
