Test Case,Predicates,SLOC
cjpeg_divide_by_zero_trace,1.0,1.0
cjpeg_heap_buffer_overflow_trace,1.0,1.0
ezxml_trace,3.0,1.0
fls_trace,3.0,2.0
img2sixel_trace,12.0,12.0
lua_trace,44.0,42.0
matdump_trace,2.0,2.0
mruby_heap_buffer_overflow_trace,1.0,1.0
mruby_integer_overflow_trace,2.0,2.0
mruby_trace,24.0,21.0
mruby_uninitialized_variable_trace,2.0,2.0
nm_trace,4.0,4.0
patch_trace,7.0,5.0
perl_trace,43.0,28.0
pngimage_trace,3.0,3.0
python_trace,276.0,188.0
readelf_trace,2.0,2.0
tcpdump_trace,2.0,1.0
xmllint_trace,31.0,29.0
ziptool_trace,5.0,5.0
