0x0000555555565f15 -- num_successors_equal 1 -- 0.9961832061068704 -- jnz 0x555555565dab (path rank: 2) //_zip_find_central_dir at zip_open.c:611
0x00005555555573f4 -- rsi min_reg_val_greater_or_equal 0x2aaaaaac0008 -- 0.986641221374046 -- bnd jmp qword ptr [rip+0x279f5] (path rank: 0.6782777173761534) //?? ??:0
0x0000555555569ac2 -- rax min_reg_val_greater_or_equal 0x555555569c4e -- 0.9821428571428572 -- jmp rax (path rank: 0) //read_file at zip_source_filep.c:277
0x0000555555560a7b -- rax min_reg_val_greater_or_equal 0x6aaaaaabea58 -- 0.9821428571428572 -- jz 0x555555560a90 (path rank: 0.3031975690669343) //zip_error_set at zip_error.c:129
0x000055555556602a -- rax min_reg_val_greater_or_equal 0x555555591702 -- 0.9821428571428572 -- jnz 0x555555565fb7 (path rank: 1.681734548799866) //_zip_memmem at zip_open.c:665
0x000055555557434f -- rdi min_reg_val_greater_or_equal 0x5555555a17b0 -- 0.9821428571428572 -- jz 0x55555557437b (path rank: 1.9361461905160156) //_zip_buffer_free at zip_buffer.c:49
0x000055555555f0a0 -- 0x55555555f0a0 edge_only_taken_to 0x55555557434f -- 0.9821428571428572 -- jz 0x55555555f0b1 (path rank: 1.9532491427615621) //_zip_dirent_read at zip_dirent.c:581
0x000055555557435b -- rax max_reg_val_greater_or_equal 0x27 -- 0.9821428571428572 -- jz 0x55555557436d (path rank: 1.9568453625491342) //_zip_buffer_free at zip_buffer.c:53
0x0000555555565fdc -- rdx max_reg_val_less 0x5 -- 0.9293893129770991 -- jnz 0x555555565fe4 (path rank: 1.7157313707451702) //_zip_memmem at zip_open.c:666
0x000055555555f034 -- max_interrupt_flag_set -- 0.9210741548527808 -- jz 0x55555555f045 (path rank: 1.9458894371497866) //_zip_dirent_read at zip_dirent.c:570
0x000055555555f053 -- rbp min_reg_val_less 0xffffffffffffffff -- 0.9210741548527808 -- jns 0x55555555f077 (path rank: 1.9496529229739898) //_zip_dirent_read at zip_dirent.c:575
0x0000555555574379 -- 0x555555574379 has_edge_to 0x55555555f053 -- 0.9210741548527808 -- jmp 0x55555557437c (path rank: 2) //_zip_buffer_free at zip_buffer.c:57
0x000055555556102c -- rcx min_reg_val_less 0xff -- 0.9038985823336968 -- jmp 0x55555556109f (path rank: 1.9422932173622143) //_zip_ef_get_by_id at zip_extra_field.c:127
