Test Case,Method,ID,Crashes,Non Crashes,Predicates,SLOC,Trace Analysis Time,Monitoring Time,Ranking Time,Tracing Time,Instructions Traced,Total Instructions,Time to Prepare For Tracing
tcpdump_trace,aurora,1,46,552,3,2,10.82,1.81,0.07,87.39,2004,8875,0
tcpdump_trace,aurora,2,9,307,1,1,4.88,1.77,0.07,45.31,1998,8865,0
tcpdump_trace,aurora,3,88,737,7,3,17.5,1.86,0.06,126.61,1994,8859,0
tcpdump_trace,aurora,0,67,578,2,2,11.64,1.66,0.05,98.01,2011,8884,0
tcpdump_trace,aurora,4,63,595,1,1,12.45,1.91,0.05,96.8,1987,8853,0
tcpdump_trace,loc,0,67,578,1,1,3.41,1.32,0.01,53.54,2011,8881,126.989
tcpdump_trace,loc,3,88,737,3,2,4.72,1.47,0.02,65.45,1994,8857,121.268
tcpdump_trace,loc,1,46,552,2,2,2.77,1.35,0.01,46.17,2004,8872,127.362
tcpdump_trace,loc,2,9,307,1,1,1.26,1.31,0.01,22.87,1997,8863,128.645
tcpdump_trace,loc,4,63,595,1,1,3.21,1.47,0.02,50.5,1987,8851,116.01400000000001
tcpdump_trace,basic block,4,63,595,23,17,1.55,1.62,0.01,41.27,1981,8846,0
tcpdump_trace,basic block,2,9,307,20,15,0.58,1.37,0.01,18.83,1994,8859,0
tcpdump_trace,basic block,3,88,737,24,17,1.88,1.35,0.01,51.02,1987,8853,0
tcpdump_trace,basic block,0,67,578,23,17,1.38,1.3,0.01,40.98,2004,8875,0
tcpdump_trace,basic block,1,46,552,27,20,1.17,1.3,0.01,35.86,1998,8865,0
tcpdump_trace,loc with source,1,46,552,2,2,2.77,1.37,0.01,46.58,2003,8868,0.1
tcpdump_trace,loc with source,3,88,737,3,2,4.58,1.42,0.01,66.75,1994,8855,0.09
tcpdump_trace,loc with source,4,63,595,1,1,3.46,1.58,0.03,52.32,1987,8848,0.09
tcpdump_trace,loc with source,2,9,307,1,1,1.38,1.42,0.01,26.2,1997,8861,0.1
tcpdump_trace,loc with source,0,67,578,1,1,3.22,1.31,0.01,52.87,2010,8877,0.1
img2sixel_trace,aurora,1,9,78,32,15,0.5,4.16,0.29,11.2,1978,8834,0
img2sixel_trace,aurora,2,9,78,31,15,0.48,4.76,0.25,6.92,1975,8821,0
img2sixel_trace,aurora,3,10,89,10,6,0.52,6.38,0.25,7.97,1972,8809,0
img2sixel_trace,aurora,0,9,80,32,15,0.54,3.07,0.26,7.62,1981,8846,0
img2sixel_trace,aurora,4,46,175,29,11,1.45,4.67,0.04,325.23,1969,8795,0
img2sixel_trace,loc,0,9,80,12,12,0.16,2.12,0.05,4.99,1980,8842,31.589
img2sixel_trace,loc,3,10,89,7,7,0.22,5.43,0.05,5.59,1971,8804,30.955
img2sixel_trace,loc,1,9,78,12,12,0.17,3.31,0.05,5.13,1977,8830,31.144
img2sixel_trace,loc,2,9,78,19,19,0.16,4.15,0.09,4.84,1974,8817,30.909
img2sixel_trace,loc,4,46,182,10,10,0.48,4.24,0.02,187.14,1967,8787,31.336
img2sixel_trace,basic block,4,46,182,7,7,0.21,4.17,0.0,84.11,1963,8771,0
img2sixel_trace,basic block,2,9,78,18,15,0.07,3.99,0.01,4.44,1972,8809,0
img2sixel_trace,basic block,3,10,89,15,13,0.07,5.07,0.01,4.94,1969,8795,0
img2sixel_trace,basic block,0,9,80,21,18,0.11,2.12,0.02,4.57,1978,8834,0
img2sixel_trace,basic block,1,9,78,20,17,0.08,3.21,0.01,5.05,1975,8821,0
img2sixel_trace,loc with source,1,9,78,12,12,0.2,3.36,0.05,5.0,1976,8825,0.03
img2sixel_trace,loc with source,3,10,89,7,7,0.18,5.62,0.05,5.32,1970,8800,0.03
img2sixel_trace,loc with source,4,46,182,10,10,0.49,4.61,0.01,200.62,1966,8779,0.02
img2sixel_trace,loc with source,2,9,78,19,19,0.18,4.14,0.05,4.39,1973,8813,0.03
img2sixel_trace,loc with source,0,9,80,12,12,0.15,2.17,0.05,5.02,1979,8838,0.03
lua_trace,aurora,1,72,837,129,68,28.79,186.2,2.27,214.34,1549,6127,0
lua_trace,aurora,2,70,909,119,66,34.52,73.61,1.83,430.4,1560,6302,0
lua_trace,aurora,3,137,1346,72,30,70.64,13.62,1.05,383.21,1574,6485,0
lua_trace,aurora,0,139,1344,226,82,72.13,13.09,0.98,1264.9,1519,5754,0
lua_trace,aurora,4,144,1083,47,19,55.89,10.68,1.04,337.3,1595,6756,0
lua_trace,loc,0,176,1344,59,56,18.06,6.35,0.18,596.13,1541,5882,27.857
lua_trace,loc,3,138,1346,27,27,17.38,8.03,0.22,185.38,1591,6578,27.68
lua_trace,loc,1,72,837,58,56,7.25,87.28,0.4,81.92,1559,6186,26.553
lua_trace,loc,2,72,909,57,55,8.39,27.99,0.34,197.36,1572,6364,29.084
lua_trace,loc,4,144,1083,18,18,13.34,5.85,0.2,125.71,1607,6825,30.04
lua_trace,basic block,4,144,1083,13,13,5.35,8.14,0.16,80.34,1610,6958,0
lua_trace,basic block,2,72,909,37,33,2.73,14.17,0.09,114.79,1574,6485,0
lua_trace,basic block,3,138,1346,16,16,6.54,9.82,0.06,130.09,1595,6756,0
lua_trace,basic block,0,176,1344,34,31,6.19,9.74,0.06,379.59,1549,6127,0
lua_trace,basic block,1,72,837,39,36,2.57,35.6,0.14,52.54,1560,6302,0
lua_trace,loc with source,1,72,837,58,56,7.33,92.15,0.41,83.61,1569,6244,0.03
lua_trace,loc with source,3,138,1346,27,27,18.29,7.88,0.28,208.9,1607,6668,0.03
lua_trace,loc with source,4,144,1083,18,18,13.18,6.09,0.31,128.36,1620,6892,0.03
lua_trace,loc with source,2,72,909,57,55,8.12,27.12,0.21,192.92,1582,6425,0.02
lua_trace,loc with source,0,176,1344,59,56,18.01,6.23,0.17,633.47,1562,6006,0.02
xmllint_trace,aurora,1,343,1084,69,46,105.12,12.84,1.8,463.16,1667,7277,0
xmllint_trace,aurora,2,295,1101,63,40,95.93,22.2,0.81,506.26,1771,7763,0
xmllint_trace,aurora,3,276,1045,175,104,89.59,49.93,2.12,433.03,1860,8180,0
xmllint_trace,aurora,0,295,1118,58,36,96.51,9.21,0.7,421.45,1561,6779,0
xmllint_trace,aurora,4,303,963,70,47,84.32,34.82,1.3,390.87,1938,8542,0
xmllint_trace,loc,0,295,1118,23,22,26.67,3.62,0.32,178.72,1608,6949,151.668
xmllint_trace,loc,3,276,1045,60,54,25.92,13.25,0.36,197.41,1896,8303,161.234
xmllint_trace,loc,1,343,1084,26,25,29.03,5.1,0.16,189.15,1714,7443,156.65699999999998
xmllint_trace,loc,2,295,1101,23,22,28.45,7.97,0.2,216.89,1812,7905,150.004
xmllint_trace,loc,4,303,963,25,24,23.87,13.01,0.22,177.9,1971,8658,165.867
xmllint_trace,basic block,4,303,963,23,21,12.72,9.33,0.27,119.44,2011,8884,0
xmllint_trace,basic block,2,295,1101,20,18,14.88,6.16,0.12,137.12,1860,8180,0
xmllint_trace,basic block,3,276,1045,41,36,13.86,9.52,0.18,131.61,1938,8542,0
xmllint_trace,basic block,0,295,1118,20,18,15.02,3.19,0.16,133.39,1667,7277,0
xmllint_trace,basic block,1,343,1084,22,20,15.29,4.16,0.16,141.26,1771,7763,0
xmllint_trace,loc with source,1,343,1084,26,25,31.53,5.39,0.23,197.25,1759,7605,0.17
xmllint_trace,loc with source,3,276,1045,60,54,25.04,12.78,0.29,183.15,1930,8424,0.16
xmllint_trace,loc with source,4,303,963,25,24,22.72,11.49,0.22,169.41,2004,8772,0.17
xmllint_trace,loc with source,2,295,1101,23,22,27.36,8.02,0.19,191.12,1851,8044,0.16
xmllint_trace,loc with source,0,295,1118,23,22,27.16,3.62,0.22,182.08,1654,7115,0.15
nm_trace,aurora,1,10,279,4,4,2.87,0.64,,36.72,1606,6945,0
